#the BLOCK_TITLE is just capitalized versions of BLOCK. Used at the top of the guidebook, for example
BLOCK air                       =air
BLOCK_TITLE air                 =Air
BLOCK_TUTORIAL air              =It's empty space for you to build.\
If you need more of it, don't be afraid to use the {BLOCK destroyer}.

BLOCK command_block             =command block
BLOCK_TITLE command_block       =Command Block
BLOCK_TUTORIAL command_block    ={GUIDEBOOK_CATEGORY none|^}. Executes a command, usually used for tutorial messages.

BLOCK boundary                  =boundary
BLOCK_TITLE boundary            =Boundary
BLOCK_TUTORIAL boundary         ={GUIDEBOOK_CATEGORY none|^}. You can't break it, usually used for tutorial worlds.

BLOCK creator                   =creator
BLOCK_TITLE creator             =Creator
BLOCK_TUTORIAL creator          ={GUIDEBOOK_CATEGORY none|^}. Duplicates blocks at an {BLOCK_STATE interval} decided by incoming {BLOCK_STATE charge}, up to 15.

BLOCK spawner                   =spawner
BLOCK_TITLE spawner             =Spawner
BLOCK_TUTORIAL spawner          =Spawns {ENTITY entity|s}. Can only be found in large structures along the surface.
#"structure" as in a large building


#natural category

BLOCK dirt                      =dirt
BLOCK_TITLE dirt                =Dirt
BLOCK_TUTORIAL dirt             =Grass will spread better with {BLOCK_STATE light}.

BLOCK grass                     =grass
BLOCK_TITLE grass               =Grass
BLOCK_TUTORIAL grass            =Plant matter that can be squished into nothing.

BLOCK sediment                  =sediment
BLOCK_TITLE sediment            =Sediment
BLOCK_TUTORIAL sediment         =It's not quite {BLOCK dirt} and not quite {BLOCK stone}.

BLOCK stone                     =stone
BLOCK_TITLE stone               =Stone
BLOCK_TUTORIAL stone            =You can find valuable resources deep in the {BLOCK stone}.\
When {BLOCK stone} is naturally generated, it can be immune to movement.

BLOCK chert                     =chert
BLOCK_TITLE chert               =Chert
BLOCK_TUTORIAL chert            =A harder type of rock.\
When {BLOCK chert} is naturally generated, it can be immune to movement.

BLOCK iron_vein                 =iron vein
BLOCK_TITLE iron_vein           =Iron Vein
BLOCK_TUTORIAL iron_vein        =It's a dense collection of infinite {BLOCK iron_ore} for you to extract.

BLOCK iron_ore                  =iron ore
BLOCK_TITLE iron_ore            =Iron Ore
BLOCK_TUTORIAL iron_ore         =This needs to be processed with an {BLOCK arc_furnace} before it's of any use.

BLOCK copper_vein               =copper vein
BLOCK_TITLE copper_vein         =Copper Vein
BLOCK_TUTORIAL copper_vein      =It's a dense collection of infinite {BLOCK copper_ore} for you to extract.

BLOCK copper_ore                =copper ore
BLOCK_TITLE copper_ore          =Copper Ore
BLOCK_TUTORIAL copper_ore       =This needs to be processed with an {BLOCK arc_furnace} before it's of any use.

BLOCK sand                      =sand
BLOCK_TITLE sand                =Sand
BLOCK_TUTORIAL sand             =This block won't connect to any other. Slides off other blocks.\
Use an {BLOCK arc_furnace} to turn it into {BLOCK silicon} and then {BLOCK glass}.
#sand, pulp, and sawdust have similar properties

BLOCK leaf_maple                =maple leaf
BLOCK_TITLE leaf_maple          =Maple Leaf
BLOCK_TUTORIAL leaf_maple       =Flammable.\
Will not grow if the new spot does not have another {BLOCK air} above it.

BLOCK log_maple                 =maple log
BLOCK_TITLE log_maple           =Maple Log
BLOCK_TUTORIAL log_maple        =For a rustic look.

BLOCK leaf_pine                 =pine needle
BLOCK_TITLE leaf_pine           =Pine Needle
BLOCK_TUTORIAL leaf_pine        =Flammable.\
Will not grow if the new spot does not have another {BLOCK air} above it.

BLOCK log_pine                  =pine log
BLOCK_TITLE log_pine            =Pine Log
BLOCK_TUTORIAL log_pine         =For a rustic look.

BLOCK water                     =water
BLOCK_TITLE water               =Water
BLOCK_TUTORIAL water            =Flows out of the way.\
Can be found naturally along the world surface before researching {RESEARCH rehydration}.

BLOCK snow                      =snow
BLOCK_TITLE snow                =Snow
BLOCK_TUTORIAL snow             =Frozen matter that can be squished into nothing.


#material category

BLOCK iron_bar                  =iron bar
BLOCK_TITLE iron_bar            =Iron Bar
BLOCK_TUTORIAL iron_bar         =A useful material.
#this BLOCK_TUTORIAL is useless filler text

BLOCK iron_plate                =iron plate
BLOCK_TITLE iron_plate          =Iron Plate
BLOCK_TUTORIAL iron_plate       =A worked material.
#"A worked material" hints that this is is slightly more complex to make

BLOCK cast_iron                 =cast iron
BLOCK_TITLE cast_iron           =Cast Iron
BLOCK_TUTORIAL cast_iron        =A solid material.
#this BLOCK_TUTORIAL is useless filler text

BLOCK oxide                     =oxide
BLOCK_TITLE oxide               =Oxide
BLOCK_TUTORIAL oxide            =A rough material. Needs {BLOCK air}, {BLOCK water}, and time to form.
#"Rough material" hints that this is used in recipes to make cutting/grinding machines

BLOCK copper_bar                =copper bar
BLOCK_TITLE copper_bar          =Copper Bar
BLOCK_TUTORIAL copper_bar       =A heavy material.
#this BLOCK_TUTORIAL is useless filler text

BLOCK wire_spool                =wire spool
BLOCK_TITLE wire_spool          =Wire Spool
BLOCK_TUTORIAL wire_spool       =A packaged material
#lampshading at the fact that despite only being made out of copper, the sprite appears to have packaging not made out of copper

BLOCK silicon                   =silicon
BLOCK_TITLE silicon             =Silicon
BLOCK_TUTORIAL silicon          =A delicate material.
#hints at the mechanic that silicon shatters if it is dropped and lands on the ground

BLOCK wafer                     =wafer
BLOCK_TITLE wafer               =Wafer
BLOCK_TUTORIAL wafer            =A necessary base for electrical components.

BLOCK pulp                      =pulp
BLOCK_TITLE pulp                =Pulp
BLOCK_TUTORIAL pulp             =This block won't connect to any other. Slides off other blocks.\
Use an {BLOCK arc_furnace} to turn it into {BLOCK rubber}.
#sand, pulp, and sawdust have similar properties

BLOCK rubber                    =rubber
BLOCK_TITLE rubber              =Rubber
BLOCK_TUTORIAL rubber           =A non-magnetic material.
#rubber has a special interaction with the magnet block

BLOCK sawdust                   =sawdust
BLOCK_TITLE sawdust             =Sawdust
BLOCK_TUTORIAL sawdust          =This block won't connect to any other. Slides off other blocks.\
Put into an {BLOCK injector} to fertilize {BLOCK dirt} or turn {BLOCK oxide} into {BLOCK sediment}.
#sand, pulp, and sawdust have similar properties

BLOCK calcium_bar               =calcium bar
BLOCK_TITLE calcium_bar         =Calcium Bar
BLOCK_TUTORIAL calcium_bar      =A spooky material.\
{ENTITY chomer|^s} can be found by exploring east and west.
#calcium bar is the bone material in Roody:2d
#the "spooky" reference is probably very english-western
#this material is gained by killing the "chomer" monster. Calcium is often associated with bones and skeletons. Skeletons are parts of dead things, and skeletons are "spooky", So calcium bar is spooky.
#if there isn't an adjective heavily associated with bones and skeletons like "spooky" when localizing, then something generic like "A biological material" would work.
#"exploring east and west" is literal. Screen left / screen right is called east and west, and the player can only find chomers by going east and west, not up and down

BLOCK peltmellow                =peltmellow
BLOCK_TITLE peltmellow          =Peltmellow
BLOCK_TUTORIAL peltmellow       =A spongy material.\
{ENTITY bushbert|^s} can be found by exploring east and west.
#"exploring east and west" is literal. Screen left / screen right is called east and west, and the player can only find chomers by going east and west, not up and down

BLOCK compressed_stone          =compressed stone
BLOCK_TITLE compressed_stone    =Compressed Stone
BLOCK_TUTORIAL compressed_stone =A way to store large amounts of {BLOCK stone} slightly inefficiently.
#25 stone can be turned into 1 compressed stone, and 1 compressed stone can be turned into 24 stone. This is "slightly inefficient", and this BLOCK_TUTORIAL should help the player notice this

BLOCK compressed_chert          =compressed chert
BLOCK_TITLE compressed_chert    =Compressed Stone
BLOCK_TUTORIAL compressed_chert =A way to store large amounts of {BLOCK chert} slightly inefficiently.
#25 chert can be turned into 1 compressed chert, and 1 compressed chert can be turned into 24 chert. This is "slightly inefficient", and this BLOCK_TUTORIAL should help the player notice this


#building category

BLOCK frame                     =frame
BLOCK_TITLE frame               =Frame
BLOCK_TUTORIAL frame            =It's cheap and it doesn't get in your way.

BLOCK platform                  =platform
BLOCK_TITLE platform            =Platform
BLOCK_TUTORIAL platform         =Something to stand on.\
Fall through with [down].

BLOCK lamp                      =lamp
BLOCK_TITLE lamp                =Lamp
BLOCK_TUTORIAL lamp             =Emits a temporary light when placed.\
Emits a permanent light when {BLOCK_STATE charge|d}.

BLOCK display                   =display
BLOCK_TITLE display             =Display
BLOCK_TUTORIAL display          =A single {BLOCK display} shows a single {BLOCK_STATE character}.\
{BLOCK_STATE charge|^} disables it.\
Edit with [adjust] [menu_pause_back], or tune with [adjust_decrease] [adjust_increase].

BLOCK cap                       =cap
BLOCK_TITLE cap                 =Cap
BLOCK_TUTORIAL cap              =It can only be connected at its base.

BLOCK chair                     =chair
BLOCK_TITLE chair               =Chair
BLOCK_TUTORIAL chair            =So relaxing, time just seems to slip away when you sit [down] in it. [exit_chair] to exit.
#sitting in a chair is the fast forward button in RoodyL:2d

BLOCK chair_pilot               =pilot chair
BLOCK_TITLE chair_pilot         =Pilot Chair
BLOCK_TUTORIAL chair_pilot      =Protocol 1: Link to Pilot.\
[down] [exit_chair]
#This is a direct quote from Titanfall 2, a mech game https://titanfall2.fandom.com/wiki/BT-7274
#it hints that the chair_pilot can be used to manually drive a machine "link to pilot", and that the machine could resemble a giant robot
#the quote is also in a technical/informative tone, so it fits with the rest of the BLOCK_TUTORIAL
#localizing this line should probably still be a direct quote from the translation Titanfall 2 uses, or be another famous quote about piloting a giant robot.

BLOCK spikes                    =spikes
