CAMPAIGN introduction           =Introduction
CAMPAIGN_HINT introduction      =Everything you need to know to get started playing
CAMPAIGN encyclopedia           =Encyclopedia
CAMPAIGN_HINT encyclopedia      =A showcase of specific mechanics
#the "encyclopedia" is tedious and unnecessary to start playing, unlike the introduction. The introduction/encyclopedia names should guide players into only playing the introduction at first, and then maybe checking out the encyclopedia later

TEMPLATE_WORLD basics           =Basics
TUTORIAL basics_level           ={title} has unconventional building mechanics, so building requires unconventional controls.

TUTORIAL movement 1             =Use [+west] or [+east] to move.
TUTORIAL movement 2             =Use [+jump] to jump. Hold [+jump] to jump higher.
TUTORIAL adjust 1               =Use [adjust] to interact with {BLOCK toggler|s} with your mouse.
TUTORIAL adjust 1.5             =Hover your mouse over the {BLOCK toggler} in the wall. It has a red dot and arrows " <-- " point towards it.
TUTORIAL adjust 2               =You can also use [+place] if your mouse isn't holding any blocks.
TUTORIAL detector               ={BLOCK detector|^s} turn on when the player or another creature is contacting it.
TUTORIAL movement 3             =Use [+down] to drop through {BLOCK platform|s}.
TUTORIAL options                =Pause [menu_pause_back] and open the options to review and change key bindings.
TUTORIAL movement 4             =Hold [+down] to move slowly.

TUTORIAL building 1             =When your mask is down, you are in welding mode. Hold [+remove] to unweld this wall.
#"weld"ing is a critical term in Roody:2d. Aligns with BINDABLE_HINT build_mode_weld
TUTORIAL building 2             =When your mask is up, you are in building mode. Hold [+remove] to pick up these blocks.
#"building mode" is the opposite of "welding mode". Aligns with BINDABLE build_mode_build
TUTORIAL building 3             =Modes can be toggled by holding [+build_mode_not] or tapping [build_mode_toggle].
TUTORIAL building 4             =Building mode makes [+place] place blocks. Welding mode makes [+place] weld blocks.

TUTORIAL building 5             =If you prefer to use SHIFT for changing modes (like I do), I suggest turning off sticky keys or changing the "mode hold" keybinding
#SHIFT key is the only key with the sticky-keys problem on windows computers
#this has a more casual tone than other tutorial messages. "I" am personally recommending to use the SHIFT key

TUTORIAL building 6             =When in building mode, the scroll wheel selects the hotbar, an alternative to [hud_slot1],[hud_slot2],[hud_slot3], etc.
TUTORIAL building 7             =When in welding mode, the scroll wheel acts as a zoom, an alternative to [zoom_in]/[zoom_out].

TUTORIAL building 9             =Build some stairs to get up. Placed blocks will be frozen until you move or duck [+down], so you need to weld them.

TUTORIAL building 10            =You can pick up entire structures [+remove] and then rotate them with [rotate_right] and [rotate_left].
#"structure" as in a cluster of blocks welded together
TUTORIAL building 11            =Place structures in your backpack [open_backpack].\
If they match exactly (including rotation), they will stack in the same slot.
#"structure" as in a cluster of blocks welded together
TUTORIAL building 12            =You can also holster with [hud_slot0] to quickly send what you are holding to the backpack.

TEMPLATE_WORLD crafting         =Crafting
TUTORIAL crafting_level         =This level will teach how to unlock recipes and craft items.
#there isn't a specific "crafting" mechanic in Roody:2d. "Crafting" is just a broad term for multiple mechanics such as using the combiner, extractor, arc furnace, injector, etc.

RESEARCH research_intro         =Research Intro
HINT_RESEARCH research_intro    =In the top left of your screen, you can see your next objective to insert into the {BLOCK collector}.
TUTORIAL mining=Cut out a tunnel to get the {BLOCK iron_vein}.
RESEARCH extractor              =Extractor
#should align with the BLOCK name. It isn't a sub-translation because RESEARCH is its own special color
HINT_RESEARCH extractor         =Tap [show_messages] to hide/show recent messages.
RESEARCH arc_furnace            =Arc Furnace
#should align with the BLOCK name. It isn't a sub-translation because RESEARCH is its own special color
HINT_RESEARCH arc_furnace       =As you unlock more recipes, they will show up in the guidebook [open_guidebook].
RESEARCH iron_bar               =Iron Bar
#should align with the BLOCK name. It isn't a sub-translation because RESEARCH is its own special color
HINT_RESEARCH iron_bar          =The {BLOCK combiner} combines blocks into new blocks. This is how more advanced blocks are created.

TEMPLATE_WORLD wires            =Wires
TUTORIAL wires_level            =To make fully automatic machines in {title}, you will need to become at least a little bit familiar with the wire {BLOCK_STATE charge} system.\
This level gives various tips of various usefulness.

TUTORIAL lamp 1                 ={BLOCK lamp|^s} will light an area for a limited amount of time before extinguishing.
TUTORIAL lamp 2                 =You can pick up and place a {BLOCK lamp} to reset this timer.
TUTORIAL lamp 3                 =Connecting a {BLOCK lamp} to a {BLOCK_STATE charge} source allows it to stay on indefinitely.

TUTORIAL charge 1               =Many machines either need a wire {BLOCK_STATE charge} to run or change their behavior when given a wire {BLOCK_STATE charge}.

TUTORIAL focus 1                =Hover your mouse over a block to view its information in the {WAILA abbreviation} in the top-right of the screen.\
("{WAILA spelled_out}")
TUTORIAL focus 2                =Press [build_scan] on a block so the {WAILA abbreviation} keeps focus on one block.
TUTORIAL focus 3                =Press [open_guidebook_hover] while hovering over a block to see its function and recipe.

TUTORIAL charge 2               =Wire signals can be modified with circuit components. Most circuit components have a small delay.
TUTORIAL charge 3               =Wire {BLOCK_STATE charge} decays over lengths of wire.
TUTORIAL charge 4               =Try different {BLOCK sensor} modes by pressing [adjust] over the {BLOCK sensor}. It will read different aspects of the observed block.
TUTORIAL matcher                =The {BLOCK matcher} sends a signal if the 2 adjacent blocks are the same.

TUTORIAL wire_connection 1      ={BLOCK wire|^s} need to be welded to work.
TUTORIAL wire_connection 2      =Some blocks do not interact with {BLOCK wire|s}, even when welded.

TEMPLATE_WORLD natural_processes=Natural Processes
#grass growing, trees growing, fire spreading: these are all "natural processes"

TUTORIAL grass 1                =Well-lit {BLOCK dirt} will spread grass to other {BLOCK dirt}.
TUTORIAL grass 2                =(eventually...)

TUTORIAL tree 1                 =Connecting a log and a leaf into some {BLOCK dirt} will grow a tree.
TUTORIAL tree 2                 =Leaves will some times connect to nearby leaves, even if they belong to another tree.
